YEAR,T_MAPCODE,BIOME,LC7_text,km2
1750,AT15,Albany Thicket,Natural,14.6008
1750,AT16,Albany Thicket,Natural,53.7692
1750,AT17,Albany Thicket,Natural,729.2028
1750,AT18,Albany Thicket,Natural,1175.6312
1750,AT19,Albany Thicket,Natural,1077.8672
1750,AT20,Albany Thicket,Natural,35.5164
1750,AT21,Albany Thicket,Natural,386.3068
1750,AT22,Albany Thicket,Natural,215.488
1750,AT23,Albany Thicket,Natural,311.1928
1750,AT24,Albany Thicket,Natural,2976.1348
1750,AT25,Albany Thicket,Natural,2128.9656
1750,AT26,Albany Thicket,Natural,40.4824
1750,AT27,Albany Thicket,Natural,1239.9792
1750,AT28,Albany Thicket,Natural,1030.5104
1750,AT29,Albany Thicket,Natural,784.614
1750,AT30,Albany Thicket,Natural,674.0584
1750,AT31,Albany Thicket,Natural,240.8016
1750,AT32,Albany Thicket,Natural,3596.184
1750,AT33,Albany Thicket,Natural,491.8056
1750,AT34,Albany Thicket,Natural,167.5268
1750,AT35,Albany Thicket,Natural,30.1476
1750,AT36,Albany Thicket,Natural,51.4116
1750,AT37,Albany Thicket,Natural,176.6464
1750,AT38,Albany Thicket,Natural,1290.854
1750,AT39,Albany Thicket,Natural,245.8596
1750,AT40,Albany Thicket,Natural,596.3172
1750,AT41,Albany Thicket,Natural,307.5216
1750,AT42,Albany Thicket,Natural,59.8564
1750,AT43,Albany Thicket,Natural,286.2032
1750,AT44,Albany Thicket,Natural,163.4576
1750,AT45,Albany Thicket,Natural,697.0252
1750,AT46,Albany Thicket,Natural,571.8576
1750,AT47,Albany Thicket,Natural,910.5756
1750,AT48,Albany Thicket,Natural,20.3768
1750,AT49,Albany Thicket,Natural,5647.1168
1750,AT50,Albany Thicket,Natural,577.5424
1750,AT51,Albany Thicket,Natural,1963.4028
1750,AT52,Albany Thicket,Natural,43.5968
1750,AT53,Albany Thicket,Natural,27.1028
1750,AT54,Albany Thicket,Natural,187.7204
1750,AT55,Albany Thicket,Natural,760.3872
1750,AT56,Albany Thicket,Natural,701.6176
1750,AT57,Albany Thicket,Natural,137.0648
1750,AT58,Albany Thicket,Natural,2252.3448
1750,AZa1,Azonal,Natural,18.7044
1750,AZa2,Azonal,Natural,350.796
1750,AZa3,Azonal,Natural,867.5872
1750,AZa4,Azonal,Natural,1787.3464
1750,AZa5,Azonal,Natural,3235.1676
1750,AZa6,Azonal,Natural,653.4064
1750,AZa7,Azonal,Natural,1274.7652
1750,AZd1,Azonal,Natural,6.4404
1750,AZd2,Azonal,Natural,13.216
1750,AZd3,Azonal,Natural,220.1216
1750,AZd4,Azonal,Natural,28.0788
1750,AZi1,Azonal,Natural,1363.9048
1750,AZi3,Azonal,Natural,1919.2856
1750,AZi5,Azonal,Natural,5176.9952
1750,AZi6,Azonal,Natural,5302.936
1750,AZi7,Azonal,Natural,2130.1056
1750,AZi8,Azonal,Natural,407.1792
1750,AZs3,Azonal,Natural,12.9664
1750,CB1,IOCB,Natural,2355.4844
1750,CB2,IOCB,Natural,1122.1012
1750,CB3,IOCB,Natural,4141.8068
1750,CB4,IOCB,Natural,1299.9024
1750,CB5,IOCB,Natural,1650.386
1750,CB6,IOCB,Natural,1121.1792
1750,Dg1,Desert,Natural,335.9332
1750,Dg10,Desert,Natural,2094.648
1750,Dg2,Desert,Natural,361.43
1750,Dg3,Desert,Natural,160.0684
1750,Dg4,Desert,Natural,107.7996
1750,Dg5,Desert,Natural,592.286
1750,Dg6,Desert,Natural,8.2236
1750,Dg7,Desert,Natural,247.0048
1750,Dg8,Desert,Natural,343.1992
1750,Dg9,Desert,Natural,1217.99
1750,Dn1,Desert,Natural,17.0928
1750,Dn2,Desert,Natural,1.5428
1750,Dn3,Desert,Natural,139.9224
1750,Dn4,Desert,Natural,217.0148
1750,Dn5,Desert,Natural,418.2756
1750,FFa1,Fynbos,Natural,180.0652
1750,FFa2,Fynbos,Natural,501.6496
1750,FFa3,Fynbos,Natural,477.154
1750,FFa4,Fynbos,Natural,35.8392
1750,FFb1,Fynbos,Natural,279.0688
1750,FFb2,Fynbos,Natural,134.5308
1750,FFb3,Fynbos,Natural,97.8776
1750,FFb4,Fynbos,Natural,61.9624
1750,FFb5,Fynbos,Natural,108.3896
1750,FFb6,Fynbos,Natural,78.0444
1750,FFc1,Fynbos,Natural,869.1648
1750,FFd1,Fynbos,Natural,1300.9768
1750,FFd10,Fynbos,Natural,151.6788
1750,FFd11,Fynbos,Natural,76.61
1750,FFd2,Fynbos,Natural,2055.6608
1750,FFd3,Fynbos,Natural,1009.5924
1750,FFd4,Fynbos,Natural,689.0436
1750,FFd5,Fynbos,Natural,556.9336
1750,FFd6,Fynbos,Natural,88.5808
1750,FFd7,Fynbos,Natural,247.4448
1750,FFd8,Fynbos,Natural,97.686
1750,FFd9,Fynbos,Natural,517.29
1750,FFf1,Fynbos,Natural,694.0016
1750,FFf2,Fynbos,Natural,40.588
1750,FFg1,Fynbos,Natural,64.8176
1750,FFg2,Fynbos,Natural,523.9892
1750,FFg3,Fynbos,Natural,91.7956
1750,FFg4,Fynbos,Natural,16.934
1750,FFg5,Fynbos,Natural,498.2224
1750,FFh1,Fynbos,Natural,427.9772
1750,FFh10,Fynbos,Natural,283.2676
1750,FFh11,Fynbos,Natural,12.6292
1750,FFh2,Fynbos,Natural,106.534
1750,FFh3,Fynbos,Natural,75.1268
1750,FFh4,Fynbos,Natural,316.876
1750,FFh5,Fynbos,Natural,84.0044
1750,FFh6,Fynbos,Natural,279.4916
1750,FFh7,Fynbos,Natural,266.618
1750,FFh8,Fynbos,Natural,186.7676
1750,FFh9,Fynbos,Natural,563.6392
1750,FFl1,Fynbos,Natural,286.9588
1750,FFl2,Fynbos,Natural,694.2568
1750,FFl3,Fynbos,Natural,791.6736
1750,FFq1,Fynbos,Natural,49.024
1750,FFq2,Fynbos,Natural,1646.1872
1750,FFq3,Fynbos,Natural,1268.0852
1750,FFq4,Fynbos,Natural,97.856
1750,FFq5,Fynbos,Natural,388.8108
1750,FFq6,Fynbos,Natural,683.2776
1750,FFs1,Fynbos,Natural,1014.1516
1750,FFs10,Fynbos,Natural,1050.6224
1750,FFs11,Fynbos,Natural,914.2348
1750,FFs12,Fynbos,Natural,1179.408
1750,FFs13,Fynbos,Natural,531.504
1750,FFs14,Fynbos,Natural,358.8828
1750,FFs15,Fynbos,Natural,993.5776
1750,FFs16,Fynbos,Natural,1215.3228
1750,FFs17,Fynbos,Natural,107.4468
1750,FFs18,Fynbos,Natural,878.8052
1750,FFs19,Fynbos,Natural,1571.0644
1750,FFs2,Fynbos,Natural,1343.1468
1750,FFs20,Fynbos,Natural,2298.4988
1750,FFs21,Fynbos,Natural,318.3396
1750,FFs22,Fynbos,Natural,388.3256
1750,FFs23,Fynbos,Natural,852.1924
1750,FFs24,Fynbos,Natural,1084.7884
1750,FFs25,Fynbos,Natural,332.5684
1750,FFs26,Fynbos,Natural,304.1844
1750,FFs27,Fynbos,Natural,2402.9412
1750,FFs28,Fynbos,Natural,4052.18
1750,FFs29,Fynbos,Natural,334.1964
1750,FFs3,Fynbos,Natural,498.2384
1750,FFs30,Fynbos,Natural,37.5252
1750,FFs31,Fynbos,Natural,50.8348
1750,FFs32,Fynbos,Natural,547.9488
1750,FFs4,Fynbos,Natural,2523.64
1750,FFs5,Fynbos,Natural,1135.986
1750,FFs6,Fynbos,Natural,422.8764
1750,FFs7,Fynbos,Natural,394.0712
1750,FFs8,Fynbos,Natural,319.7464
1750,FFs9,Fynbos,Natural,219.4464
1750,FFt1,Fynbos,Natural,404.9544
1750,FFt2,Fynbos,Natural,211.1624
1750,FOa1,Forest,Natural,132.4988
1750,FOa2,Forest,Natural,100.4988
1750,FOa3,Forest,Natural,23.8196
1750,FOz1,Forest,Natural,788.0828
1750,FOz2,Forest,Natural,214.0732
1750,FOz3,Forest,Natural,1062.2748
1750,FOz4,Forest,Natural,379.0448
1750,FOz5,Forest,Natural,825.652
1750,FOz6,Forest,Natural,185.2344
1750,FOz7,Forest,Natural,680.3208
1750,FOz8,Forest,Natural,265.4308
1750,FOz9,Forest,Natural,68.7972
1750,FRa1,Fynbos,Natural,497.676
1750,FRa2,Fynbos,Natural,63.072
1750,FRc1,Fynbos,Natural,101.0616
1750,FRc2,Fynbos,Natural,209.756
1750,FRd1,Fynbos,Natural,219.4944
1750,FRd2,Fynbos,Natural,578.926
1750,FRg1,Fynbos,Natural,305.5396
1750,FRg2,Fynbos,Natural,951.3408
1750,FRg3,Fynbos,Natural,19.1756
1750,FRl1,Fynbos,Natural,501.6888
1750,FRs1,Fynbos,Natural,207.306
1750,FRs10,Fynbos,Natural,25.2736
1750,FRs11,Fynbos,Natural,1193.6704
1750,FRs12,Fynbos,Natural,2027.506
1750,FRs13,Fynbos,Natural,2762.57
1750,FRs14,Fynbos,Natural,866.5308
1750,FRs15,Fynbos,Natural,276.4104
1750,FRs16,Fynbos,Natural,1347.8644
1750,FRs17,Fynbos,Natural,207.1384
1750,FRs18,Fynbos,Natural,118.7224
1750,FRs19,Fynbos,Natural,373.15
1750,FRs2,Fynbos,Natural,218.8368
1750,FRs20,Fynbos,Natural,46.9912
1750,FRs3,Fynbos,Natural,3217.472
1750,FRs4,Fynbos,Natural,491.7496
1750,FRs5,Fynbos,Natural,1236.5136
1750,FRs6,Fynbos,Natural,2095.8456
1750,FRs7,Fynbos,Natural,1607.8492
1750,FRs8,Fynbos,Natural,1049.7592
1750,FRs9,Fynbos,Natural,4963.7544
1750,FS1,Fynbos,Natural,354.2776
1750,FS10,Fynbos,Natural,322.876
1750,FS11,Fynbos,Natural,39.6004
1750,FS12,Fynbos,Natural,119.0592
1750,FS13,Fynbos,Natural,41.644
1750,FS14,Fynbos,Natural,96.9252
1750,FS2,Fynbos,Natural,298.8244
1750,FS3,Fynbos,Natural,1643.4048
1750,FS4,Fynbos,Natural,61.564
1750,FS5,Fynbos,Natural,342.2724
1750,FS6,Fynbos,Natural,394.2892
1750,FS7,Fynbos,Natural,46.8288
1750,FS9,Fynbos,Natural,27.99
1750,Gd1,Grassland,Natural,5026.9468
1750,Gd10,Grassland,Natural,78.8828
1750,Gd2,Grassland,Natural,158.3236
1750,Gd3,Grassland,Natural,2966.1812
1750,Gd4,Grassland,Natural,6646.0524
1750,Gd5,Grassland,Natural,1218.5104
1750,Gd6,Grassland,Natural,17.5824
1750,Gd7,Grassland,Natural,1343.4028
1750,Gd8,Grassland,Natural,4028.32
1750,Gh1,Grassland,Natural,8370.6212
1750,Gh10,Grassland,Natural,25965.724
1750,Gh11,Grassland,Natural,923.5568
1750,Gh12,Grassland,Natural,329.4952
1750,Gh13,Grassland,Natural,3766.2224
1750,Gh14,Grassland,Natural,9187.4096
1750,Gh15,Grassland,Natural,8598.4796
1750,Gh2,Grassland,Natural,7162.5576
1750,Gh3,Grassland,Natural,13392.4368
1750,Gh4,Grassland,Natural,9677.7704
1750,Gh5,Grassland,Natural,4949.5984
1750,Gh6,Grassland,Natural,16012.9004
1750,Gh7,Grassland,Natural,1571.9508
1750,Gh8,Grassland,Natural,80.4668
1750,Gh9,Grassland,Natural,7074.3048
1750,Gm1,Grassland,Natural,3571.9108
1750,Gm10,Grassland,Natural,1093.2008
1750,Gm11,Grassland,Natural,10508.8704
